ticker,entry_date,entry_price,exit_date,exit_price,qty,cost,proceeds,pnl,reason,target,stop_loss
BAJAJFINSV.NS,2024-08-23,1606.79,2024-10-04,1883.63,20,32135.8,37672.600000000006,5536.800000000007,STOP_LOSS,2103.2,1939.61
TITAN.NS,2024-08-23,3481.21,2024-10-04,3659.09,9,31330.89,32931.81,1600.9199999999983,STOP_LOSS,3943.62,3701.47
MARUTI.NS,2024-08-30,12091.05,2024-10-04,12470.77,1,12091.05,12470.77,379.72000000000116,STOP_LOSS,13795.68,13017.65
HEROMOTOCO.NS,2024-08-30,5112.25,2024-10-04,5305.5,4,20449.0,21222.0,773.0,STOP_LOSS,6036.27,5585.5
BHARTIARTL.NS,2024-09-06,1497.41,2024-10-04,1627.3,28,41927.48,45564.4,3636.9199999999983,STOP_LOSS,1795.74,1663.58
KOTAKBANK.NS,2024-09-13,1794.23,2024-10-04,1806.92,20,35884.6,36138.4,253.8000000000029,STOP_LOSS,1958.95,1859.83
ULTRACEMCO.NS,2024-09-13,11458.63,2024-10-04,11378.13,3,34375.89,34134.39,-241.5,STOP_LOSS,12291.47,11566.17
LT.NS,2024-09-20,3691.17,2024-10-04,3461.67,8,29529.36,27693.36,-1836.0,STOP_LOSS,3894.18,3657.34
EICHERMOT.NS,2024-09-20,4809.91,2024-10-04,4646.55,6,28859.46,27879.300000000003,-980.1599999999962,STOP_LOSS,5196.58,4848.71
M&M.NS,2024-09-20,2863.69,2024-10-04,2993.4,11,31500.59,32927.4,1426.8100000000013,STOP_LOSS,3325.21,3033.07
NESTLEIND.NS,2024-09-20,1312.19,2024-10-04,1285.4,24,31492.56,30849.600000000002,-642.9599999999991,STOP_LOSS,1412.24,1318.02
POWERGRID.NS,2024-09-20,319.76,2024-10-04,323.33,101,32295.76,32656.329999999998,360.5699999999997,STOP_LOSS,352.07,327.5
RELIANCE.NS,2024-09-27,1499.75,2024-10-04,1381.01,19,28495.25,26239.19,-2256.0600000000013,STOP_LOSS,1560.81,1489.57
BPCL.NS,2024-09-27,338.58,2024-10-04,322.01,85,28779.3,27370.85,-1408.4500000000007,STOP_LOSS,365.67,334.06
COALINDIA.NS,2024-09-27,454.97,2024-10-04,447.36,63,28663.11,28183.68,-479.4300000000003,STOP_LOSS,483.14,450.28
BRITANNIA.NS,2024-05-10,4813.13,2024-10-11,5901.17,8,38505.04,47209.36,8704.32,STOP_LOSS,6409.61,6021.29
SUNPHARMA.NS,2024-07-05,1521.36,2024-10-11,1884.35,17,25863.12,32033.949999999997,6170.829999999998,STOP_LOSS,1983.28,1891.21
CIPLA.NS,2024-09-06,1564.37,2024-10-11,1578.88,26,40673.619999999995,41050.880000000005,377.2600000000093,STOP_LOSS,1704.25,1605.4
WIPRO.NS,2024-09-13,258.65,2024-10-11,254.01,145,37504.25,36831.45,-672.8000000000029,STOP_LOSS,276.88,255.62
TATASTEEL.NS,2024-09-27,159.2,2024-10-11,157.0,181,28815.199999999997,28417.0,-398.1999999999971,STOP_LOSS,170.79,157.07
JSWSTEEL.NS,2024-03-28,799.35,2024-10-18,989.93,50,39967.5,49496.5,9529.0,STOP_LOSS,1081.68,992.94
COLPAL.NS,2024-07-05,2775.45,2024-10-18,3297.5,9,24979.05,29677.5,4698.450000000001,STOP_LOSS,3812.71,3495.82
GAIL.NS,2024-09-27,221.82,2024-10-18,212.14,130,28836.6,27578.199999999997,-1258.4000000000015,STOP_LOSS,237.48,219.21
M&M.NS,2024-10-04,2897.95,2024-10-18,2940.62,19,55061.049999999996,55871.78,810.7300000000032,STOP_LOSS,3255.08,2963.66
LTIM.NS,2024-10-11,6143.57,2024-10-18,5894.95,10,61435.7,58949.5,-2486.199999999997,STOP_LOSS,6635.15,6061.64
GRASIM.NS,2024-08-23,2662.82,2024-10-25,2605.72,12,31953.840000000004,31268.64,-685.2000000000044,STOP_LOSS,2890.13,2624.93
DIVISLAB.NS,2024-08-30,4945.98,2024-10-25,5754.55,4,19783.92,23018.2,3234.2800000000025,STOP_LOSS,6468.06,5849.17
INFY.NS,2024-09-06,1797.73,2024-10-25,1788.17,23,41347.79,41127.91,-219.87999999999738,STOP_LOSS,1936.44,1799.73
NTPC.NS,2024-09-20,400.45,2024-10-25,386.17,80,32036.0,30893.600000000002,-1142.3999999999978,STOP_LOSS,442.41,408.37
SBIN.NS,2024-10-18,788.6,2024-10-25,765.58,88,69396.8,67371.04000000001,-2025.7599999999948,STOP_LOSS,835.54,780.78
KOTAKBANK.NS,2024-10-18,1827.14,2024-10-25,1766.81,38,69431.32,67138.78,-2292.540000000008,STOP_LOSS,1952.41,1806.26
HCLTECH.NS,2024-06-07,1326.69,2024-11-01,1693.02,26,34493.94,44018.52,9524.579999999994,STOP_LOSS,1852.17,1722.37
TECHM.NS,2024-06-07,1268.14,2024-11-01,1558.56,28,35507.920000000006,43639.68,8131.759999999995,STOP_LOSS,1740.55,1587.92
BHARTIARTL.NS,2024-10-18,1659.39,2024-11-01,1603.05,42,69694.38,67328.09999999999,-2366.2800000000134,STOP_LOSS,1762.3,1642.24
HDFCBANK.NS,2024-10-18,813.12,2024-11-14,835.09,86,69928.32,71817.74,1889.4199999999983,STOP_LOSS,895.53,843.02
LT.NS,2024-11-01,3510.53,2024-11-14,3493.67,19,66700.07,66379.73,-320.34000000001106,STOP_LOSS,3797.91,3497.91
SBIN.NS,2024-11-08,805.58,2024-11-14,788.42,78,62835.240000000005,61496.759999999995,-1338.4800000000105,STOP_LOSS,868.49,795.1
JSWSTEEL.NS,2024-11-08,966.28,2024-11-14,936.53,65,62808.2,60874.45,-1933.75,STOP_LOSS,1048.6,952.56
DIVISLAB.NS,2024-11-08,5790.12,2024-12-13,5850.06,10,57901.2,58500.600000000006,599.4000000000087,STOP_LOSS,6472.14,5899.16
ZEEL.NS,2024-11-29,122.1,2024-12-13,130.0,340,41514.0,44200.0,2686.0,STOP_LOSS,150.44,133.29
ICICIBANK.NS,2024-10-18,1228.83,2024-12-20,1278.53,57,70043.31,72876.20999999999,2832.899999999994,STOP_LOSS,1373.93,1305.11
EICHERMOT.NS,2024-11-01,4762.94,2024-12-20,4673.9,14,66681.15999999999,65434.59999999999,-1246.5599999999977,STOP_LOSS,5188.74,4722.6
HCLTECH.NS,2024-11-14,1752.11,2024-12-20,1841.33,36,63075.96,66287.88,3211.9200000000055,STOP_LOSS,1966.52,1844.3
TECHM.NS,2024-11-14,1600.36,2024-12-20,1638.64,40,64014.399999999994,65545.6,1531.2000000000116,STOP_LOSS,1810.99,1697.06
TCS.NS,2024-11-22,4005.57,2024-12-20,4030.11,13,52072.41,52391.43,319.0199999999968,STOP_LOSS,4491.57,4149.43
INFY.NS,2024-11-22,1807.12,2024-12-20,1866.9,30,54213.6,56007.0,1793.4000000000015,STOP_LOSS,2021.36,1882.87
POWERGRID.NS,2024-11-22,317.29,2024-12-20,305.66,171,54256.590000000004,52267.86000000001,-1988.729999999996,STOP_LOSS,343.82,312.87
ULTRACEMCO.NS,2024-11-22,11060.24,2024-12-20,11350.85,4,44240.96,45403.4,1162.4400000000023,STOP_LOSS,12547.35,11603.11
SBIN.NS,2024-11-29,800.33,2024-12-20,796.02,51,40816.83,40597.02,-219.81000000000495,STOP_LOSS,885.68,817.38
LT.NS,2024-11-29,3609.71,2024-12-20,3596.31,11,39706.81,39559.409999999996,-147.40000000000146,STOP_LOSS,4012.07,3730.34
HDFCBANK.NS,2024-11-29,867.37,2024-12-20,873.94,47,40766.39,41075.18,308.7900000000009,STOP_LOSS,954.7,899.91
LTIM.NS,2024-11-29,5956.39,2024-12-20,5749.52,6,35738.340000000004,34497.12,-1241.2200000000012,STOP_LOSS,6884.31,6436.18
GRASIM.NS,2024-12-06,2630.88,2024-12-20,2479.68,12,31570.56,29756.159999999996,-1814.400000000005,STOP_LOSS,2814.55,2600.27
JSWSTEEL.NS,2024-12-06,977.93,2024-12-20,914.89,32,31293.76,29276.48,-2017.2799999999988,STOP_LOSS,1047.44,966.35
TITAN.NS,2024-12-06,3380.33,2024-12-20,3346.18,9,30422.97,30115.62,-307.3500000000022,STOP_LOSS,3638.37,3393.28
BHARTIARTL.NS,2024-12-13,1627.04,2024-12-20,1565.02,19,30913.76,29735.38,-1178.3799999999974,STOP_LOSS,1749.33,1606.66
KOTAKBANK.NS,2024-12-13,1775.19,2024-12-20,1741.54,18,31953.420000000002,31347.72,-605.7000000000007,STOP_LOSS,1860.33,1761.0
ZEEL.NS,2024-12-13,125.46,2024-12-20,122.56,256,32117.76,31375.36,-742.3999999999978,STOP_LOSS,139.09,123.18
WIPRO.NS,2024-10-18,256.05,2025-01-03,283.14,273,69901.65000000001,77297.22,7395.569999999992,STOP_LOSS,310.15,288.97
POLICYBZR.NS,2024-11-14,1652.71,2025-01-10,1862.95,38,62802.98,70792.1,7989.120000000003,STOP_LOSS,2367.21,2102.33
VBL.NS,2024-11-22,592.83,2025-01-10,594.85,92,54540.36,54726.200000000004,185.84000000000378,STOP_LOSS,690.74,605.83
ITC.NS,2024-12-27,437.27,2025-01-10,430.06,147,64278.689999999995,63218.82,-1059.8699999999953,STOP_LOSS,463.53,436.83
EICHERMOT.NS,2024-12-27,4731.84,2025-01-10,4993.7,13,61513.92,64918.1,3404.1800000000003,STOP_LOSS,5483.99,5061.85
SUNPHARMA.NS,2024-12-27,1814.11,2025-01-10,1768.29,35,63493.85,61890.15,-1603.699999999997,STOP_LOSS,1903.86,1799.15
DIVISLAB.NS,2025-01-03,5882.57,2025-01-10,5745.19,10,58825.7,57451.899999999994,-1373.800000000003,STOP_LOSS,6297.52,5813.41
KOTAKBANK.NS,2025-01-03,1804.67,2025-01-10,1754.18,32,57749.44,56133.76,-1615.6800000000003,STOP_LOSS,1900.25,1788.74
ULTRACEMCO.NS,2025-01-03,11455.02,2025-01-10,10796.76,5,57275.100000000006,53983.8,-3291.300000000003,STOP_LOSS,12225.24,11326.65
M&M.NS,2024-11-08,2839.77,2025-01-17,2894.1,22,62474.94,63670.2,1195.2599999999948,STOP_LOSS,3311.11,3055.63
DRREDDY.NS,2024-12-20,1307.14,2025-01-17,1301.15,52,67971.28,67659.8,-311.4799999999959,STOP_LOSS,1443.4,1333.67
CIPLA.NS,2025-01-03,1464.58,2025-01-17,1427.06,40,58583.2,57082.399999999994,-1500.800000000003,STOP_LOSS,1556.68,1449.23
HCLTECH.NS,2025-01-03,1833.41,2025-01-17,1740.85,32,58669.12,55707.2,-2961.9200000000055,STOP_LOSS,2014.09,1852.96
HINDUNILVR.NS,2025-01-10,2359.49,2025-01-17,2311.33,24,56627.759999999995,55471.92,-1155.8399999999965,STOP_LOSS,2474.38,2340.34
INFY.NS,2025-01-10,1866.82,2025-01-17,1763.27,30,56004.6,52898.1,-3106.5,STOP_LOSS,1997.6,1845.02
LTIM.NS,2025-01-10,5903.34,2025-01-17,5814.67,9,53130.06,52332.03,-798.0299999999988,STOP_LOSS,6330.6,5832.13
RELIANCE.NS,2025-01-17,1270.76,2025-01-24,1241.34,43,54642.68,53377.619999999995,-1265.060000000005,STOP_LOSS,1349.99,1257.55
SBILIFE.NS,2025-01-17,1501.18,2025-01-24,1437.66,36,54042.48,51755.76,-2286.720000000001,STOP_LOSS,1610.36,1482.99
SUNPHARMA.NS,2025-01-24,1768.17,2025-01-31,1727.81,30,53045.100000000006,51834.299999999996,-1210.8000000000102,STOP_LOSS,1879.69,1749.58
TCS.NS,2025-01-10,4027.04,2025-02-07,3965.6,14,56378.56,55518.4,-860.1599999999962,STOP_LOSS,4312.71,3979.42
BRITANNIA.NS,2025-01-24,4923.09,2025-02-07,4807.5,11,54153.990000000005,52882.5,-1271.4900000000052,STOP_LOSS,5293.24,4890.84
COALINDIA.NS,2025-01-31,364.47,2025-02-07,358.08,127,46287.69,45476.159999999996,-811.5300000000061,STOP_LOSS,395.41,359.31
COLPAL.NS,2025-01-31,2682.86,2025-02-07,2556.49,17,45608.62,43460.329999999994,-2148.290000000008,STOP_LOSS,2918.4,2643.6
HINDUNILVR.NS,2025-01-31,2374.2,2025-02-07,2321.0,19,45109.799999999996,44099.0,-1010.7999999999956,STOP_LOSS,2523.75,2349.28
ONGC.NS,2025-01-03,240.33,2025-02-14,223.81,245,58880.850000000006,54833.45,-4047.4000000000087,STOP_LOSS,271.08,240.81
TITAN.NS,2025-01-03,3372.06,2025-02-14,3203.61,17,57325.02,54461.37,-2863.649999999994,STOP_LOSS,3638.6,3360.66
EICHERMOT.NS,2025-01-10,4863.52,2025-02-14,4643.14,11,53498.72,51074.54,-2424.1800000000003,STOP_LOSS,5563.52,5108.97
NESTLEIND.NS,2025-01-10,1094.03,2025-02-14,1093.33,52,56889.56,56853.159999999996,-36.400000000001455,STOP_LOSS,1199.34,1103.25
RELIANCE.NS,2025-02-07,1238.76,2025-02-14,1212.41,40,49550.4,48496.4,-1054.0,STOP_LOSS,1307.47,1227.3
BAJAJ-AUTO.NS,2025-02-07,8577.37,2025-02-14,8296.24,5,42886.850000000006,41481.2,-1405.6500000000087,STOP_LOSS,9146.88,8482.45
