NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-01 20:19:45

BUY SIGNALS (941):
  DODLA.NS        | Price: 1081.10 | Entry: 1059.48 | Target: 1281.17 | Risk: LOW       
  GRWRHITECH.NS   | Price: 6117.90 | Entry: 5995.54 | Target: 7533.79 | Risk: LOW       
  KIRLPNU.NS      | Price: 1574.30 | Entry: 1542.81 | Target: 1916.01 | Risk: LOW       
  GARFIBRES.NS    | Price:  659.45 | Entry:  646.26 | Target:  756.77 | Risk: LOW       
  SHILPAMED.NS    | Price:  498.95 | Entry:  488.97 | Target:  620.99 | Risk: LOW       
  MAXESTATES.NS   | Price:  444.00 | Entry:  435.12 | Target:  540.38 | Risk: LOW       
  SUDEEPPHRM.NS   | Price:  742.15 | Entry:  727.31 | Target:  914.92 | Risk: LOW       
  THANGAMAYL.NS   | Price: 4204.90 | Entry:  4120.8 | Target: 5271.36 | Risk: LOW       
  AJAXENGG.NS     | Price:  590.00 | Entry:   578.2 | Target:  707.82 | Risk: LOW       
  ETHOSLTD.NS     | Price: 2381.50 | Entry: 2333.87 | Target: 2876.82 | Risk: LOW       
  FDC.NS          | Price:  405.00 | Entry:   396.9 | Target:  493.86 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   73.61 | Entry:   72.14 | Target:   90.75 | Risk: LOW       
  REDTAPE.NS      | Price:  139.52 | Entry:  136.73 | Target:  183.72 | Risk: LOW       
  TMB.NS          | Price:  692.55 | Entry:   678.7 | Target:  803.89 | Risk: LOW       
  TIPSMUSIC.NS    | Price:  662.45 | Entry:   649.2 | Target:  783.40 | Risk: LOW       
  ATLANTAELE.NS   | Price: 1971.90 | Entry: 1932.46 | Target: 2407.33 | Risk: LOW       
