NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-05 19:24:54

BUY SIGNALS (848):
  AZAD.NS         | Price: 2200.50 | Entry: 2156.49 | Target: 2702.61 | Risk: LOW       
  METROPOLIS.NS   | Price:  544.15 | Entry:  533.27 | Target:  634.99 | Risk: LOW       
  RELINFRA.NS     | Price:   77.87 | Entry:   76.31 | Target:   85.27 | Risk: LOW       
  PGHL.NS         | Price: 6201.00 | Entry: 6076.98 | Target: 7374.39 | Risk: LOW       
  ALKYLAMINE.NS   | Price: 1800.80 | Entry: 1764.78 | Target: 2226.66 | Risk: LOW       
  TEJASNET.NS     | Price:  601.95 | Entry:  589.91 | Target:  743.29 | Risk: LOW       
  SHAILY.NS       | Price: 3067.40 | Entry: 3006.05 | Target: 3952.11 | Risk: LOW       
  BANCOINDIA.NS   | Price:  658.90 | Entry:  645.72 | Target:  769.79 | Risk: LOW       
  SHAKTIPUMP.NS   | Price:  532.20 | Entry:  521.56 | Target:  607.81 | Risk: LOW       
  MMTC.NS         | Price:   68.31 | Entry:   66.94 | Target:   81.22 | Risk: LOW       
  ASTRAMICRO.NS   | Price: 1377.70 | Entry: 1350.15 | Target: 1712.74 | Risk: LOW       
  TDPOWERSYS.NS   | Price: 1325.50 | Entry: 1298.99 | Target: 1679.21 | Risk: LOW       
  HCG.NS          | Price:  639.95 | Entry:  627.15 | Target:  745.18 | Risk: LOW       
  HONASA.NS       | Price:  417.05 | Entry:  408.71 | Target:  496.98 | Risk: LOW       
  KRBL.NS         | Price:  351.05 | Entry:  344.03 | Target:  410.87 | Risk: LOW       
  VARROC.NS       | Price:  601.60 | Entry:  589.57 | Target:  697.39 | Risk: LOW       
  SANSERA.NS      | Price: 2925.80 | Entry: 2867.28 | Target: 3529.41 | Risk: LOW       
  BLUESTONE.NS    | Price:  535.05 | Entry:  524.35 | Target:  621.75 | Risk: LOW       
  WABAG.NS        | Price: 1560.60 | Entry: 1529.39 | Target: 1787.81 | Risk: LOW       
  DBREALTY.NS     | Price:  116.78 | Entry:  114.44 | Target:  142.59 | Risk: LOW       
  MARKSANS.NS     | Price:  239.14 | Entry:  234.36 | Target:  302.53 | Risk: LOW       
  BBOX.NS         | Price: 1078.20 | Entry: 1056.64 | Target: 1337.75 | Risk: LOW       
  POWERMECH.NS    | Price: 2626.50 | Entry: 2573.97 | Target: 3100.57 | Risk: LOW       
  SOUTHBANK.NS    | Price:   44.61 | Entry:   43.72 | Target:   50.90 | Risk: LOW       
  SAREGAMA.NS     | Price:  452.60 | Entry:  443.55 | Target:  560.71 | Risk: LOW       
  PCJEWELLER.NS   | Price:    9.22 | Entry:    9.04 | Target:   11.23 | Risk: LOW       
  LUMAXTECH.NS    | Price: 1691.90 | Entry: 1658.06 | Target: 2045.29 | Risk: LOW       
  MANORAMA.NS     | Price: 1460.50 | Entry: 1431.29 | Target: 1724.96 | Risk: LOW       
  ARVIND.NS       | Price:  501.05 | Entry:  491.03 | Target:  601.50 | Risk: LOW       
  APOLLO.NS       | Price:  419.20 | Entry:  410.82 | Target:  568.84 | Risk: LOW       
  CAMPUS.NS       | Price:  251.15 | Entry:  246.13 | Target:  292.12 | Risk: LOW       
  WEWORK.NS       | Price:  630.55 | Entry:  617.94 | Target:  795.30 | Risk: LOW       
  OSWALPUMPS.NS   | Price:  398.35 | Entry:  390.38 | Target:  474.21 | Risk: LOW       
  DODLA.NS        | Price: 1095.60 | Entry: 1073.69 | Target: 1257.24 | Risk: LOW       
  GRWRHITECH.NS   | Price: 5863.50 | Entry: 5746.23 | Target: 7368.14 | Risk: LOW       
  BORORENEW.NS    | Price:  524.15 | Entry:  513.67 | Target:  626.08 | Risk: LOW       
  GARFIBRES.NS    | Price:  659.20 | Entry:  646.02 | Target:  757.00 | Risk: LOW       
  SHILPAMED.NS    | Price:  525.80 | Entry:  515.28 | Target:  643.55 | Risk: LOW       
  MAXESTATES.NS   | Price:  440.90 | Entry:  432.08 | Target:  530.54 | Risk: LOW       
  SUDEEPPHRM.NS   | Price:  758.60 | Entry:  743.43 | Target:  943.80 | Risk: LOW       
  THANGAMAYL.NS   | Price: 5520.60 | Entry: 5410.19 | Target: 6715.64 | Risk: LOW       
  AKUMS.NS        | Price:  555.50 | Entry:  544.39 | Target:  645.98 | Risk: LOW       
  AJAXENGG.NS     | Price:  600.85 | Entry:  588.83 | Target:  691.03 | Risk: LOW       
  FDC.NS          | Price:  400.55 | Entry:  392.54 | Target:  500.44 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   71.51 | Entry:   70.08 | Target:   87.16 | Risk: LOW       
  REDTAPE.NS      | Price:  136.88 | Entry:  134.14 | Target:  178.27 | Risk: LOW       
  TMB.NS          | Price:  748.10 | Entry:  733.14 | Target:  873.44 | Risk: LOW       
  TIPSMUSIC.NS    | Price:  672.10 | Entry:  658.66 | Target:  796.26 | Risk: LOW       
  ATLANTAELE.NS   | Price: 2151.50 | Entry: 2108.47 | Target: 2615.75 | Risk: LOW       
  SFL.NS          | Price:  623.15 | Entry:  610.69 | Target:  748.28 | Risk: LOW       
  V2RETAIL.NS     | Price:  256.40 | Entry:  251.27 | Target:  312.13 | Risk: LOW       
  MASTEK.NS       | Price: 1673.10 | Entry: 1639.64 | Target: 1995.85 | Risk: LOW       
  GANESHHOU.NS    | Price:  758.20 | Entry:  743.04 | Target:  916.27 | Risk: LOW       
  RTNINDIA.NS     | Price:   38.84 | Entry:   38.06 | Target:   46.70 | Risk: LOW       
  WELENT.NS       | Price:  540.75 | Entry:  529.93 | Target:  629.68 | Risk: LOW       
  RATEGAIN.NS     | Price:  771.00 | Entry:  755.58 | Target:  947.80 | Risk: LOW       
